Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100)
Afghanistan,53938,2336,45465,6137,107,12,31,84.29,4.33
Albania,67216,1270,40090,25856,581,5,465,59.64,1.89
Algeria,103611,2831,70373,30407,230,4,185,67.92,2.73
Andorra,9038,91,8116,831,92,3,0,89.8,1.01
Angola,18765,431,16225,2109,86,3,105,86.46,2.3
Antigua and Barbuda,187,6,156,25,3,0,0,83.42,3.21
Argentina,1791979,45295,1573104,173580,8932,68,11141,87.79,2.53
Armenia,164235,2987,152615,8633,263,13,295,92.92,1.82
Australia,28708,909,25913,1886,19,0,16,90.26,3.17
Austria,392511,7053,367785,17673,1723,66,2571,93.7,1.8
Azerbaijan,226951,2998,214423,9530,402,15,650,94.48,1.32
Bahamas,8032,175,6525,1332,11,0,18,81.24,2.18
Bahrain,97268,358,94039,2871,248,1,313,96.68,0.37
Bangladesh,527063,7883,471756,47424,578,21,633,89.51,1.5
Barbados,1095,7,493,595,59,0,0,45.02,0.64
Belarus,223537,1573,206676,15288,1933,9,2176,92.46,0.7
Belgium,677209,20396,0,656813,2120,44,0,0.0,3.01
Belize,11529,281,10650,598,0,0,0,92.38,2.44
Benin,3413,46,3245,122,0,0,0,95.08,1.35
Bhutan,842,1,553,288,5,0,20,65.68,0.12
Bolivia,185680,9596,142948,33136,2091,25,669,76.99,5.17
Bosnia and Herzegovina,117011,4411,84650,27950,0,0,0,72.34,3.77
Botswana,17365,71,13519,3775,0,0,0,77.85,0.41
Brazil,8455059,209296,7485823,759940,61567,1050,47748,88.54,2.48
Brunei,174,3,168,3,0,0,0,96.55,1.72
Bulgaria,211736,8474,156326,46936,233,17,296,73.83,4.0
Burkina Faso,9000,101,7102,1797,118,4,75,78.91,1.12
Burma,133869,2942,117081,13846,491,16,471,87.46,2.2
Burundi,1185,2,773,410,35,0,0,65.23,0.17
