Date,Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered
2020-01-22,Iran,0,0,0,0,0,0,0
2020-01-23,Iran,0,0,0,0,0,0,0
2020-01-24,Iran,0,0,0,0,0,0,0
2020-01-25,Iran,0,0,0,0,0,0,0
2020-01-26,Iran,0,0,0,0,0,0,0
2020-01-27,Iran,0,0,0,0,0,0,0
2020-01-28,Iran,0,0,0,0,0,0,0
2020-01-29,Iran,0,0,0,0,0,0,0
2020-01-30,Iran,0,0,0,0,0,0,0
2020-01-31,Iran,0,0,0,0,0,0,0
2020-02-01,Iran,0,0,0,0,0,0,0
2020-02-02,Iran,0,0,0,0,0,0,0
2020-02-03,Iran,0,0,0,0,0,0,0
2020-02-04,Iran,0,0,0,0,0,0,0
2020-02-05,Iran,0,0,0,0,0,0,0
2020-02-06,Iran,0,0,0,0,0,0,0
2020-02-07,Iran,0,0,0,0,0,0,0
2020-02-08,Iran,0,0,0,0,0,0,0
2020-02-09,Iran,0,0,0,0,0,0,0
2020-02-10,Iran,0,0,0,0,0,0,0
2020-02-11,Iran,0,0,0,0,0,0,0
2020-02-12,Iran,0,0,0,0,0,0,0
2020-02-13,Iran,0,0,0,0,0,0,0
2020-02-14,Iran,0,0,0,0,0,0,0
2020-02-15,Iran,0,0,0,0,0,0,0
2020-02-16,Iran,0,0,0,0,0,0,0
2020-02-17,Iran,0,0,0,0,0,0,0
2020-02-18,Iran,0,0,0,0,0,0,0
2020-02-19,Iran,2,2,0,0,2,2,0
2020-02-20,Iran,5,2,0,3,3,0,0
2020-02-21,Iran,18,4,0,14,13,2,0
2020-02-22,Iran,28,5,0,23,10,1,0
2020-02-23,Iran,43,8,0,35,15,3,0
2020-02-24,Iran,61,12,0,49,18,4,0
2020-02-25,Iran,95,16,0,79,34,4,0
2020-02-26,Iran,139,19,49,71,44,3,49
2020-02-27,Iran,245,26,49,170,106,7,0
2020-02-28,Iran,388,34,73,281,143,8,24
2020-02-29,Iran,593,43,123,427,205,9,50
2020-03-01,Iran,978,54,175,749,385,11,52
2020-03-02,Iran,1501,66,291,1144,523,12,116
2020-03-03,Iran,2336,77,291,1968,835,11,0
2020-03-04,Iran,2922,92,552,2278,586,15,261
2020-03-05,Iran,3513,107,739,2667,591,15,187
2020-03-06,Iran,4747,124,913,3710,1234,17,174
2020-03-07,Iran,5823,145,1669,4009,1076,21,756
2020-03-08,Iran,6566,194,2134,4238,743,49,465
2020-03-09,Iran,7161,237,2394,4530,595,43,260
2020-03-10,Iran,8042,291,2731,5020,881,54,337
2020-03-11,Iran,9000,354,2959,5687,958,63,228
2020-03-12,Iran,10075,429,2959,6687,1075,75,0
2020-03-13,Iran,11364,514,2959,7891,1289,85,0
2020-03-14,Iran,12729,611,2959,9159,1365,97,0
2020-03-15,Iran,13938,724,4590,8624,1209,113,1631
2020-03-16,Iran,14991,853,4590,9548,1053,129,0
2020-03-17,Iran,16169,988,5389,9792,1178,135,799
2020-03-18,Iran,17361,1135,5389,10837,1192,147,0
2020-03-19,Iran,18407,1284,5710,11413,1046,149,321
2020-03-20,Iran,19644,1433,6745,11466,1237,149,1035
2020-03-21,Iran,20610,1556,7635,11419,966,123,890
2020-03-22,Iran,21638,1685,7931,12022,1028,129,296
2020-03-23,Iran,23049,1812,7931,13306,1411,127,0
2020-03-24,Iran,24811,1934,8913,13964,1762,122,982
