Date,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
2020-01-22,557,17,30,510,0,0,0,5.39,3.05,6
2020-01-23,655,18,32,605,98,1,2,4.89,2.75,8
2020-01-24,941,26,39,876,286,8,7,4.14,2.76,9
2020-01-25,1433,42,42,1349,492,16,3,2.93,2.93,11
2020-01-26,2118,56,56,2006,685,14,14,2.64,2.64,13
2020-01-27,2927,82,65,2780,809,26,9,2.22,2.8,16
2020-01-28,5578,131,108,5339,2651,49,43,1.94,2.35,16
2020-01-29,6167,133,126,5908,589,2,18,2.04,2.16,18
2020-01-30,8235,171,143,7921,2068,38,17,1.74,2.08,20
2020-01-31,9927,213,222,9492,1692,42,79,2.24,2.15,23
2020-02-01,12038,259,284,11495,2111,46,62,2.36,2.15,25
2020-02-02,16787,362,463,15962,4749,103,179,2.76,2.16,25
2020-02-03,19887,426,608,18853,3100,64,145,3.06,2.14,25
2020-02-04,23898,492,826,22580,4011,66,218,3.46,2.06,26
2020-02-05,27643,564,1076,26003,3745,72,250,3.89,2.04,26
2020-02-06,30803,634,1423,28746,3160,70,347,4.62,2.06,26
2020-02-07,34335,719,1908,31708,3532,85,485,5.56,2.09,26
2020-02-08,37069,806,2470,33793,2734,87,562,6.66,2.17,26
2020-02-09,40096,906,3058,36132,3027,100,588,7.63,2.26,26
2020-02-10,42634,1013,3715,37906,2538,107,657,8.71,2.38,26
2020-02-11,44676,1113,4418,39145,2042,100,703,9.89,2.49,26
2020-02-12,45054,1118,4850,39086,378,5,432,10.76,2.48,26
2020-02-13,60207,1371,5929,52907,15153,253,1079,9.85,2.28,26
2020-02-14,66691,1523,7612,57556,6484,152,1683,11.41,2.28,27
2020-02-15,68767,1666,8903,58198,2076,143,1291,12.95,2.42,27
2020-02-16,70880,1770,10320,58790,2113,104,1417,14.56,2.5,27
2020-02-17,72816,1868,11951,58997,1936,98,1631,16.41,2.57,27
2020-02-18,74610,2008,13693,58909,1794,140,1742,18.35,2.69,27
2020-02-19,75031,2123,15394,57514,421,115,1701,20.52,2.83,28
2020-02-20,75578,2246,17371,55961,547,123,1977,22.98,2.97,28
2020-02-21,76207,2250,17968,55989,629,4,597,23.58,2.95,30
2020-02-22,77968,2457,21852,53659,1761,207,3884,28.03,3.15,30
2020-02-23,78291,2467,22304,53520,323,10,452,28.49,3.15,31
2020-02-24,78855,2627,24047,52181,564,160,1743,30.5,3.33,36
2020-02-25,79708,2707,26652,50349,853,80,2605,33.44,3.4,41
2020-02-26,80671,2767,29079,48825,963,60,2427,36.05,3.43,47
2020-02-27,82031,2810,31920,47301,1360,43,2841,38.91,3.43,51
2020-02-28,83418,2867,35305,45246,1387,57,3385,42.32,3.44,57
2020-02-29,85308,2936,38313,44059,1890,69,3008,44.91,3.44,61
2020-03-01,87689,2990,41209,43490,2381,54,2896,46.99,3.41,66
2020-03-02,89672,3079,44084,42509,1983,89,2875,49.16,3.43,73
2020-03-03,92265,3154,46680,42431,2593,75,2596,50.59,3.42,76
2020-03-04,94573,3249,49618,41706,2308,95,2938,52.47,3.44,80
2020-03-05,97384,3343,52236,41805,2811,94,2618,53.64,3.43,84
2020-03-06,101297,3454,54268,43575,3913,111,2032,53.57,3.41,93
2020-03-07,105392,3558,56758,45076,4095,104,2490,53.85,3.38,94
2020-03-08,109341,3797,59092,46452,3949,239,2334,54.04,3.47,99
2020-03-09,113513,3987,60891,48635,4172,190,1799,53.64,3.51,102
2020-03-10,118335,4261,62798,51276,4822,274,1907,53.07,3.6,105
2020-03-11,125996,4604,65109,56283,7689,343,2311,51.68,3.65,111
2020-03-12,131786,4910,66431,60445,5790,306,1322,50.41,3.73,113
2020-03-13,146173,5407,68356,72410,14387,497,1925,46.76,3.7,120
2020-03-14,157246,5827,70726,80693,11073,420,2370,44.98,3.71,134
2020-03-15,168516,6468,74138,87910,11270,641,3412,43.99,3.84,138
2020-03-16,183326,7146,76192,99988,14810,678,2054,41.56,3.9,144
2020-03-17,199270,7958,78936,112376,15944,812,2744,39.61,3.99,147
2020-03-18,218823,8861,81422,128540,19553,903,2486,37.21,4.05,151
2020-03-19,245872,9973,83064,152835,27049,1112,1642,33.78,4.06,155
2020-03-20,276649,11454,85509,179686,30777,1481,2445,30.91,4.14,162
2020-03-21,308651,13175,89755,205721,32002,1721,4246,29.08,4.27,164
2020-03-22,343482,14849,95973,232660,34831,1674,6218,27.94,4.32,169
2020-03-23,386333,16790,96441,273102,42851,1941,468,24.96,4.35,170
2020-03-24,427493,19073,105980,302440,41175,2283,9539,24.79,4.46,172
2020-03-25,478511,21872,111424,345215,51018,2799,5444,23.29,4.57,175
2020-03-26,541341,24892,119785,396664,62830,3020,8361,22.13,4.6,175
2020-03-27,606402,28386,128498,449518,65061,3494,8713,21.19,4.68,176
2020-03-28,673646,32102,136798,504746,67244,3716,8300,20.31,4.77,176
2020-03-29,732898,35578,146248,551072,59252,3476,9450,19.95,4.85,176
2020-03-30,798176,39630,161591,596955,65278,4052,15343,20.25,4.97,177
2020-03-31,875025,44379,174055,656591,76849,4749,12464,19.89,5.07,179
2020-04-01,957809,50335,189595,717879,82784,5956,15540,19.79,5.26,179
2020-04-02,1040856,56188,206311,778357,83047,5853,16716,19.82,5.4,180
2020-04-03,1124386,62312,221293,840781,83530,6124,14982,19.68,5.54,180
2020-04-04,1182794,68484,241300,873010,75482,6172,20007,20.4,5.79,180
2020-04-05,1255402,73668,254701,927033,72608,5184,13401,20.29,5.87,181
2020-04-06,1328572,79594,271166,977812,73170,5926,16465,20.41,5.99,182
2020-04-07,1398405,87825,293890,1016690,73324,8231,22724,21.02,6.28,182
2020-04-08,1481761,94574,322407,1064780,83356,6749,28517,21.76,6.38,182
2020-04-09,1568801,102320,346651,1119830,87040,7746,24244,22.1,6.52,182
2020-04-10,1654334,109710,367740,1176884,85533,7390,21089,22.23,6.63,183
2020-04-11,1728689,115945,393255,1219489,74355,6235,25515,22.75,6.71,183
2020-04-12,1848409,121774,412146,1314489,119741,5829,18891,22.3,6.59,183
2020-04-13,1919129,127701,438769,1352659,70720,5927,26623,22.86,6.65,183
2020-04-14,2003072,134666,463367,1405039,83943,6965,24598,23.13,6.72,183
2020-04-15,2080212,143016,499185,1438011,77140,8350,35818,24.0,6.88,183
2020-04-16,2175772,150294,529363,1496115,95560,7278,30178,24.33,6.91,183
2020-04-17,2263454,158658,554706,1550090,87682,8364,25343,24.51,7.01,183
2020-04-18,2340765,164681,578144,1597940,77312,6023,23438,24.7,7.04,183
2020-04-19,2417466,169943,609022,1638501,76701,5262,30878,25.19,7.03,183
2020-04-20,2493485,175818,630479,1687188,76019,5875,21457,25.29,7.05,183
2020-04-21,2569104,182998,664634,1721472,75619,7180,34155,25.87,7.12,183
2020-04-22,2650255,189717,693496,1767042,81151,6719,28862,26.17,7.16,183
2020-04-23,2734529,196544,721918,1816067,85984,6827,28422,26.4,7.19,183
2020-04-24,2818547,203209,771551,1843787,94052,6665,49633,27.37,7.21,183
2020-04-25,2900848,208848,798450,1893550,82301,5639,26899,27.52,7.2,183
2020-04-26,2972514,212805,826318,1933391,71667,3957,27868,27.8,7.16,183
2020-04-27,3042622,217477,852776,1972369,70108,4672,26458,28.03,7.15,183
2020-04-28,3117917,224006,885015,2008896,75400,6529,32239,28.38,7.18,183
2020-04-29,3194981,230732,925967,2038282,78521,6726,40952,28.98,7.22,183
2020-04-30,3278494,236713,989955,2051826,83513,5981,63988,30.2,7.22,185
2020-05-01,3366888,241873,1026733,2098282,88394,5160,36778,30.5,7.18,185
2020-05-02,3446123,247399,1066337,2132387,79402,5526,39604,30.94,7.18,185
2020-05-03,3522594,250884,1097723,2173987,76471,3485,31386,31.16,7.12,185
2020-05-04,3600187,254991,1130668,2214528,77594,4107,32945,31.41,7.08,185
2020-05-05,3680629,260864,1166159,2253606,80442,5873,35491,31.68,7.09,185
2020-05-06,3770594,267413,1211095,2292086,89965,6549,44936,32.12,7.09,185
2020-05-07,3859281,272701,1249507,2337073,90270,5288,38412,32.38,7.07,185
2020-05-08,3949712,278176,1284932,2386604,91911,5475,35425,32.53,7.04,185
2020-05-09,4034824,282456,1337388,2414980,85112,4280,52456,33.15,7.0,185
2020-05-10,4110085,286060,1370322,2453703,75270,3604,32934,33.34,6.96,185
2020-05-11,4186610,289525,1416295,2480790,76582,3465,45973,33.83,6.92,185
2020-05-12,4270960,295052,1452283,2523625,84370,5527,35988,34.0,6.91,185
2020-05-13,4355932,300123,1507071,2548738,84972,5071,54788,34.6,6.89,186
2020-05-14,4452126,305312,1545820,2600994,96195,5189,38749,34.72,6.86,186
2020-05-15,4547835,310431,1593086,2644318,95709,5119,47266,35.03,6.83,186
2020-05-16,4642606,314706,1648572,2679328,94771,4275,55486,35.51,6.78,186
2020-05-17,4720481,317904,1688841,2713736,77875,3198,40269,35.78,6.73,186
2020-05-18,4809521,321604,1741047,2746870,89040,3700,52206,36.2,6.69,186
2020-05-19,4906274,326299,1792291,2787684,96962,4695,51244,36.53,6.65,186
2020-05-20,5008032,331057,1850550,2826425,101758,4758,58259,36.95,6.61,186
2020-05-21,5114676,335778,1900824,2878074,106748,4721,50274,37.16,6.56,186
2020-05-22,5221287,341047,2008546,2871694,106611,5269,107722,38.47,6.53,186
2020-05-23,5326214,345019,2062683,2918512,104927,3972,54137,38.73,6.48,186
2020-05-24,5420397,348019,2117523,2954855,94622,3000,54840,39.07,6.42,186
2020-05-25,5507213,349221,2180550,2977442,87188,1202,63027,39.59,6.34,186
2020-05-26,5601009,353403,2235013,3012593,93796,4182,54463,39.9,6.31,186
2020-05-27,5703857,358468,2297457,3047932,102848,5065,62444,40.28,6.28,186
2020-05-28,5822716,363074,2363599,3096043,118859,4606,66142,40.59,6.24,186
2020-05-29,5943899,367672,2439938,3136289,121183,4598,76339,41.05,6.19,186
2020-05-30,6080722,371733,2509778,3199211,136823,4061,69840,41.27,6.11,186
2020-05-31,6187282,374713,2585464,3227105,106560,2980,75686,41.79,6.06,186
2020-06-01,6283019,377798,2639501,3265720,95737,3085,54037,42.01,6.01,186
